P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
arg	ann	ano	0.013695	2.17324	0.0148813	0.00355469	69565.7	27935.7	27180.9
ano	deb	ann	0.00463193	0.623042	0.266629	0.00300515	42519.1	38086.1	37734.9
des	ano	ann	0.00764486	2.63708	0.00418111	0.00363046	85803.7	27836	27413.6
ano	niv	ann	0.0273593	4.70229	1.28629e-06	0.015576	51992.7	33224.1	31454.6
ano	ann	par	0.121392	9.21806	0	0.0458662	33233.8	45120.5	35351.8
ano	pet_fal	ann	0.126507	13.9636	0	0.0765932	49603.6	40009.1	31023
ano	pet_pet	ann	0.150177	12.6201	0	0.0938813	47826.3	41942.8	30989.9
ann	arg	deb	0.0338498	5.05759	2.12292e-07	0.012468	72080.8	31161.2	29120.7
ann	arg	des	0.00064823	0.193688	0.42321	0.00014224	72417.2	28766.8	28729.5
arg	ann	niv	0.00676369	1.3217	0.0931335	0.0023285	69063.9	28550.2	28166.6
arg	ann	par	0.0270569	4.48314	3.67765e-06	0.00823691	60706.7	32428.6	30720
arg	ann	pet_fal	0.014234	2.01962	0.0217115	0.00652762	66755	32045.8	31146.4
arg	ann	pet_pet	0.0121597	1.80597	0.0354612	0.00514459	65172.8	32804.7	32016.5
des	deb	ann	0.0125427	1.66073	0.0483842	0.00814029	45576.8	39684.3	38701.1
deb	niv	ann	0.0200758	3.79428	7.40368e-05	0.0125981	46922.4	37832.1	36343
deb	ann	par	0.132457	9.94677	0	0.0504802	35720.4	47820.4	36633.8
deb	pet_fal	ann	0.120191	16.9993	0	0.0727398	59372.1	41214.4	32370.2
deb	pet_pet	ann	0.14869	18.1091	0	0.090094	61748.1	42243	31306.9
des	niv	ann	0.0361043	5.27739	6.55179e-08	0.0202712	56953.4	34448.5	32047.7
des	ann	par	0.11671	8.67334	2.11419e-18	0.0450223	34257.9	47171.1	37311.1
des	pet_fal	ann	0.134168	12.9178	0	0.0808932	54161.1	41577.5	31740.6
des	pet_pet	ann	0.157283	14.3055	0	0.0980893	51904.8	43626.7	31768.3
niv	ann	par	0.0973756	7.6128	1.34107e-14	0.0367466	33987	44410.5	36529
niv	pet_fal	ann	0.106811	12.6204	0	0.0612365	59562.3	37317.4	30114.9
niv	pet_pet	ann	0.132969	13.9851	0	0.0793278	56501.2	39465.4	30201.8
pet_fal	ann	par	0.0188418	1.58677	0.0562829	0.00726643	38286.2	42039.4	40484.5
pet_pet	ann	par	0.0124942	0.911525	0.181009	0.00481809	39675.5	41389.8	40368.3
pet_fal	pet_pet	ann	0.0358684	6.58096	2.33705e-11	0.0188128	97084.1	30673.1	28548.9
ano	deb	arg	0.040683	5.69874	6.0349e-09	0.0144235	41576.2	39217.5	36151.3
ano	des	arg	0.00560966	2.56861	0.00510537	0.00143654	83471.8	27243.5	26939.5
ano	niv	arg	0.0328201	6.45385	5.45202e-11	0.0099448	51173.7	32648.3	30573.3
ano	arg	par	0.0985163	7.93658	1.03915e-15	0.0376569	32547.9	43069.8	35344.7
ano	pet_fal	arg	0.122444	12.4904	0	0.0395446	49084.5	38888.1	30403.7
ano	pet_pet	arg	0.148363	12.9434	0	0.0494301	47304.7	40795.9	30254.6
ano	des	deb	0.0208277	5.7948	3.42006e-09	0.0080412	81585.9	30374.5	29135.1
ano	niv	deb	0.0795281	13.2477	0	0.0372582	48467.1	38484.8	32814.5
deb	ano	par	0.0128676	1.63844	0.0506649	0.00458517	40295.2	38154.5	37185
deb	pet_fal	ano	0.178964	31.402	0	0.0646041	52326.2	44724.3	31146.2
deb	pet_pet	ano	0.161723	28.5408	0	0.0568844	55389.3	42844.2	30915.5
ano	des	niv	0.0436932	10.1116	0	0.0206495	67530	34599.5	31702.5
ano	des	par	0.00477173	0.917327	0.179486	0.00128306	78967.6	28178.8	27911.1
ano	des	pet_fal	0.0366864	4.77933	8.79423e-07	0.0199273	71535.8	34637.8	32186.2
ano	des	pet_pet	0.030798	4.2182	1.23129e-05	0.0142489	72563.8	33779.4	31760.9
ano	niv	par	0.0303008	5.59836	1.08192e-08	0.00960768	48506.1	33651.6	31672.3
ano	niv	pet_fal	0.140033	19.512	0	0.0966977	38491.2	47731.2	36005.3
ano	niv	pet_pet	0.127342	19.5395	0	0.0739769	39458.5	45763	35424.4
ano	pet_fal	par	0.114921	11.1739	0	0.0389139	46643.1	39970	31730.2
ano	pet_pet	par	0.120243	11.3773	0	0.0413819	45236.2	40596.7	31881.6
pet_pet	pet_fal	ano	0.0269507	10.9214	0	0.00802038	85907.1	30408	28812
des	deb	arg	0.0379471	6.27084	1.79547e-10	0.0135227	44268.3	40548	37583.1
niv	deb	arg	0.0128097	2.50339	0.00615055	0.00441409	45722.9	37421.5	36474.9
deb	arg	par	0.110555	12.8913	0	0.042	37097.6	45137.1	36150.4
deb	pet_fal	arg	0.0763858	11.409	0	0.025485	57885.2	39335.7	33752.8
deb	pet_pet	arg	0.105897	17.2689	0	0.0354915	60036.2	40361.6	32631.8
